hood_length,hood_width,hood_thickness,material_density,youngs_modulus,poisson_ratio,yield_strength,impact_velocity,impact_angle,hood_mass,stiffness,energy_absorption,hic_value
1309.02,1636.91,0.892,2874.18,121.34,0.332,383.28,10.26,56.3,14.61,75433.62,557.37,3000.0
1530.81,1497.29,0.93,2567.49,206.86,0.395,387.14,10.78,72.27,9.84,98989.48,415.42,3000.0
931.81,1613.04,0.957,6322.05,124.76,0.258,291.97,6.94,50.76,16.74,38012.88,1023.54,3000.0
1096.67,1460.9,1.226,4979.47,187.49,0.326,170.8,8.57,60.64,15.2,72985.43,1425.49,3000.0
1565.29,1347.84,0.95,4633.73,142.14,0.358,162.7,8.05,73.41,16.78,68774.55,1132.54,3000.0
1523.18,1691.46,1.004,6331.15,106.93,0.379,319.33,10.51,66.92,17.24,93207.88,1304.92,3000.0
1218.96,1679.65,0.814,6539.97,92.15,0.277,183.83,6.88,57.83,19.7,32508.97,414.61,3000.0
1334.09,1616.82,0.936,3021.67,78.53,0.37,392.74,7.47,70.85,14.88,80143.85,996.22,3000.0
1094.17,1363.29,0.805,5639.31,170.7,0.333,502.39,9.96,67.02,12.1,65461.49,905.52,3000.0
1031.68,1554.14,0.666,2885.05,108.78,0.309,503.17,6.74,73.89,15.78,41973.27,948.86,3000.0
1224.59,1416.58,1.143,6457.98,129.36,0.27,413.62,8.77,72.05,8.82,57954.79,479.43,3000.0
1147.35,1254.95,1.201,5910.34,126.23,0.38,234.49,8.53,68.3,18.77,46702.13,1152.88,3000.0
1308.56,1750.39,1.158,7648.36,140.25,0.274,495.2,8.04,64.65,9.43,66345.07,953.54,3000.0
954.41,1282.09,1.017,2499.96,187.82,0.296,504.44,8.32,54.0,11.93,91120.05,1241.66,3000.0
1582.08,1770.14,0.942,2430.92,206.82,0.294,228.66,8.94,57.84,17.79,65544.4,933.82,3000.0
1590.35,1467.6,1.377,3736.69,112.25,0.381,444.97,7.24,62.57,15.17,70537.79,564.32,3000.0
